SUBJID,SESSION_ID,Analyze,BLD,TYPE,ANAT,FMAP_MAG,FMAP_PHASE,FMAP_AP,FMAP_PA,T2,T2_SESSION_ID
7JK25,240401_7JK25,1,0,ANAT,57,0,0,0,0,0,0
7JK25,240401_7JK25,1,55,NBACKSE,0,0,0,36,38,0,0
7JK25,240401_7JK25,1,0,FMAP,0,0,0,36,38,0,0




